sta lat lon HLE HLN HLZ dist az Max3 MaxH MaxZ MaxS
A002 25.1258 121.467 2.159630 1.778650 1.440730 208.871 357.201 2.159630 2.159630 1.440730 3.146951
A003 25.086 121.457 0.861702 0.968382 1.173880 204.521 356.864 1.173880 0.968382 1.173880 1.748796
A006 25.094 121.515 0.666023 0.802386 0.911476 205.165 358.513 0.911476 0.802386 0.911476 1.384990
A007 25.0735 121.517 0.793674 0.811097 0.593412 202.889 358.541 0.811097 0.811097 0.593412 1.280599
A010 25.0652 121.478 0.812882 0.941850 0.850034 202.116 357.421 0.941850 0.941850 0.850034 1.506790
A013 25.0565 121.534 1.008660 0.907349 0.937397 200.967 359.013 1.008660 1.008660 0.937397 1.649057
A014 25.0565 121.552 0.959944 0.884870 0.867355 200.944 359.545 0.959944 0.959944 0.867355 1.567416
A016 25.0616 121.431 1.108500 1.037180 0.802762 201.981 356.078 1.108500 1.108500 0.802762 1.717248
A024 25.0192 121.475 1.052380 0.817323 0.901166 197.042 357.261 1.052380 1.052380 0.901166 1.608608
A025 25.0228 121.498 0.764129 1.034290 0.913918 197.339 357.948 1.034290 1.034290 0.913918 1.577623
A026 25.0157 121.511 1.935600 2.118880 2.043060 196.504 358.333 2.118880 2.118880 2.043060 3.522825
A030 24.9979 121.539 0.946655 1.416060 1.199200 194.471 359.129 1.416060 1.416060 1.199200 2.083138
A032 24.9996 121.483 2.004130 2.339620 2.386510 194.833 357.468 2.386510 2.339620 2.386510 3.896895
A034 24.9536 121.539 1.118150 1.672560 0.823429 189.563 359.117 1.672560 1.672560 0.823429 2.173879
A038 25.0224 121.419 1.828080 1.119480 1.208280 197.75 355.627 1.828080 1.828080 1.208280 2.460702
A039 24.935 121.37 0.578165 0.530530 0.415908 188.571 353.897 0.578165 0.578165 0.415908 0.888097
A043 24.9897 121.418 1.147920 1.291990 0.915195 194.14 355.527 1.291990 1.291990 0.915195 1.955643
A046 25.1024 121.777 1.465910 1.621610 0.656280 207.124 5.84531 1.621610 1.621610 0.656280 2.282370
A047 24.9519 121.345 0.703183 0.663277 0.454116 190.71 353.203 0.703183 0.703183 0.454116 1.068000
A049 25.1469 121.445 1.150360 0.792504 0.536898 211.319 356.647 1.150360 1.150360 0.536898 1.496546
A051 25.0997 121.449 0.700122 0.861134 0.605338 206.083 356.668 0.861134 0.861134 0.605338 1.264182
A052 25.0801 121.39 1.179000 1.748000 1.055390 204.36 354.949 1.748000 1.748000 1.055390 2.357837
A057 25.0799 121.694 1.439800 1.132160 1.110590 203.941 3.58057 1.439800 1.439800 1.110590 2.142013
A059 25.1558 121.694 0.623729 0.604894 0.267185 212.328 3.41941 0.623729 0.623729 0.267185 0.909023
A063 25.1055 121.738 0.893779 0.911679 0.573230 207.093 4.75468 0.911679 0.911679 0.573230 1.399497
A071 25.0017 121.617 0.970520 0.747598 0.495304 194.933 1.44585 0.970520 0.970520 0.495304 1.321415
